key	what it is for / what to preserve	en (English)	am (አማርኛ)	om (Afaan Oromoo)	ti (ትግርኛ)	so (Soomaali)	sw (Kiswahili)	reviewer notes
admin.signals	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Signals	ምልክቶች	Mallattoolee	ምልክታት	Calaamadaha	Ishara	
admin.insights_signals_only	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	The signals below are this window's automatic readout.	ከታች ያሉት ምልክቶች የዚህ ጊዜ አውቶማቲክ ንባብ ናቸው።	Mallattooleen armaan gadii dubbisa ofumaa yeroo kanaa ti.	እዞም ኣብ ታሕቲ ዘለዉ ምልክታት ኣውቶማቲክ ንባብ ናይዚ ግዜ እዮም።	Calaamadaha hoose waa akhriska tooska ah ee muddadan.	Ishara zilizo hapa chini ni usomaji wa kiotomatiki wa kipindi hiki.	
admin.sev_act	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Act	ተግብር	Hojjedhu	ተግብር	Ficil	Tenda	
admin.sev_watch	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Watch	ተከታተል	Hordofi	ተኸታተል	La soco	Fuatilia	
admin.sev_info	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Info	መረጃ	Odeeffannoo	ሓበሬታ	Macluumaad	Taarifa	
admin.sev_good	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Good	ጥሩ	Gaarii	ጽቡቕ	Wanaagsan	Nzuri	
admin.priority_now	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Do now	አሁን አድርግ	Amma hojjedhu	ሕጂ ግበር	Hadda samee	Fanya sasa	
admin.priority_soon	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Soon	በቅርቡ	Dhiyootti	ኣብ ቀረባ	Dhawaan	Hivi karibuni	
admin.priority_later	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Later	በኋላ	Booda	ጸኒሑ	Dib	Baadaye	
admin.insight_urgent_open	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Urgent escalations open right now: {n}	አሁን ክፍት የሆኑ አስቸኳይ የተላለፉ ጥያቄዎች፦ {n}	Gaaffiiwwan ol dabarfaman ariifachiisoo amma banaa jiran: {n}	ሕጂ ክፉታት ህጹጻት ዝተመሓላለፉ ሕቶታት፦ {n}	Su'aalaha kor loo gudbiyay ee degdegga ah ee hadda furan: {n}	Masuala ya dharura yaliyo wazi sasa hivi: {n}	
admin.insight_abandonment	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} of {m} customers gave up before a teller answered	ከ{m} ደንበኞች {n} ቴለር ከመመለሱ በፊት ተስፋ ቆርጠዋል	Maamiltoota {m} keessaa {n} osoo qaxxaamuraan hin deebi'in dhiisan	ካብ {m} ዓማዊል {n} ቅድሚ ተለር ምምላሱ ገዲፎም	{m} macaamiil {n} ka mid ah ayaa quustay ka hor inta uusan khabiirku ka jawaabin	Kati ya wateja {m}, {n} waliacha kabla mhudumu hajajibu	
admin.insight_own_content_low	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Only {pct}% of questions were answered from your own content — Content Gaps lists what to write	ከጥያቄዎች {pct}% ብቻ ከራስዎ ይዘት ተመልሰዋል — ምን መጻፍ እንዳለ የይዘት ክፍተቶች ይዘረዝራል	Gaaffiiwwan keessaa {pct}% qofatu qabiyyee keessan irraa deebi'e — maal barreessuu akka qabdan Hanqinni Qabiyyee ni tarreessa	ካብ ሕቶታት {pct}% ጥራይ ካብ ናትኩም ትሕዝቶ ተመሊሶም — እንታይ ክጸሓፍ ከም ዘለዎ ክፍተታት ትሕዝቶ ይዝርዝር	Su'aalaha {pct}% oo keliya ayaa laga jawaabay waxyaabahaaga — waxa la qoro waxaa taxaya Daldaloolada Waxyaabaha	Ni {pct}% tu ya maswali yaliyojibiwa kutoka kwa maudhui yako — Mapengo ya Maudhui yanaorodhesha cha kuandika	
admin.insight_slow_resolution	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Average time to resolve an escalation is {h} hours	የተላለፈ ጥያቄን ለመፍታት አማካይ ጊዜ {h} ሰዓት ነው	Gaaffii ol dabarfame furuuf yeroon giddu-galeessaa sa'aatii {h} dha	ዝተመሓላለፈ ሕቶ ንምፍታሕ ገምጋም ግዜ {h} ሰዓት እዩ	Celceliska waqtiga lagu xalliyo su'aal la gudbiyay waa {h} saacadood	Wastani wa muda wa kutatua suala lililoelekezwa ni saa {h}	
admin.insight_slow_desk	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{desk} resolves slowest — about {h} hours on average	{desk} በጣም ቀርፋፋ ይፈታል — በአማካይ ወደ {h} ሰዓት	{desk} baay'ee suuta fura — giddu-galeessaan gara sa'aatii {h}	{desk} ኣዝዩ ደንጒዩ ይፈትሕ — ብገምጋም ናብ {h} ሰዓት	{desk} ayaa ugu gaabis xallinta — celcelis ahaan qiyaastii {h} saacadood	{desk} inatatua polepole zaidi — wastani wa karibu saa {h}	
admin.insight_nobody_on	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Customers asked for live calls in this window, and nobody is on duty right now	በዚህ ጊዜ ደንበኞች ቀጥታ ጥሪ ጠይቀዋል፤ አሁን ግን ማንም በሥራ ላይ የለም	Yeroo kana maamiltoonni bilbila kallattii gaafatan, amma garuu namni hojii irra jiru hin jiru	ኣብዚ ግዜ ዓማዊል ቀጥታዊ ጻውዒት ሓቲቶም፣ ሕጂ ግን ኣብ ስራሕ ዘሎ የለን	Muddadan macaamiishu waxay codsadeen wicitaanno toos ah, haddase qofna shaqada ma joogo	Katika kipindi hiki wateja waliomba simu za moja kwa moja, lakini sasa hakuna aliye kazini	
admin.insight_deflection_up	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Deflection rose to {now}% from {then}% in the previous window	ያለ ሰው መፍታት ከቀዳሚው ጊዜ {then}% ወደ {now}% ከፍ ብሏል	Nama malee furuun yeroo darbe irraa {then}% irraa gara {now}% ol ka'e	ብዘይ ሰብ ምፍታሕ ካብ ዝሓለፈ ግዜ ካብ {then}% ናብ {now}% ደዪቡ	Xallinta qof la'aanta ah waxay kor ugu kacday {now}% halkii {then}% ee muddadii hore	Utatuzi bila mtu ulipanda hadi {now}% kutoka {then}% ya kipindi kilichopita	
admin.insight_deflection_down	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Deflection fell to {now}% from {then}% in the previous window	ያለ ሰው መፍታት ከቀዳሚው ጊዜ {then}% ወደ {now}% ቀንሷል	Nama malee furuun yeroo darbe irraa {then}% irraa gara {now}% gad bu'e	ብዘይ ሰብ ምፍታሕ ካብ ዝሓለፈ ግዜ ካብ {then}% ናብ {now}% ወሪዱ	Xallinta qof la'aanta ah waxay hoos ugu dhacday {now}% halkii {then}% ee muddadii hore	Utatuzi bila mtu ulishuka hadi {now}% kutoka {then}% ya kipindi kilichopita	
admin.insight_deflection_good	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	The assistant resolved {pct}% of questions without a person	ረዳቱ ከጥያቄዎች {pct}% ያለ ሰው ፈትቷል	Gargaaraan gaaffiiwwan keessaa {pct}% nama malee fure	እቲ ሓጋዚ ካብ ሕቶታት {pct}% ብዘይ ሰብ ፈቲሑ	Kaaliyuhu wuxuu xalliyay su'aalaha {pct}% qof la'aan	Msaidizi alitatua {pct}% ya maswali bila mtu	
admin.insight_lang_gap	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{language} questions go unanswered more than others — {pct}% missed	የ{language} ጥያቄዎች ከሌሎች በላይ ያለመልስ ይቀራሉ — {pct}% አልተመለሱም	Gaaffiiwwan {language} kaan caalaa deebii malee hafu — {pct}% hin deebine	ናይ {language} ሕቶታት ካብ ካልኦት ንላዕሊ ብዘይ መልሲ ይተርፉ — {pct}% ኣይተመለሱን	Su'aalaha {language} ayaa kuwa kale ka badan jawaab la'aan ku haray — {pct}% lama jawaabin	Maswali ya {language} yanabaki bila jibu kuliko mengine — {pct}% hayakujibiwa	
admin.insight_peak_hour	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Your busiest hour is around {hour}:00 — staff the queue for it	በጣም የተጨናነቀ ሰዓትዎ ወደ {hour}:00 አካባቢ ነው — ለዚያ ወረፋውን ያዘጋጁ	Sa'aatiin keessan baay'ee muddamu naannoo {hour}:00 dha — sararaaf hojjettoota qopheessaa	ዝበዝሐ ጻዕቂ ሰዓትኩም ኣብ ከባቢ {hour}:00 እዩ — ነቲ ሰልፊ ሰራሕተኛታት ኣዳልዉ	Saacaddaada ugu mashquulsan waxay ku dhowdahay {hour}:00 — safka shaqaale u diyaari	Saa yako yenye shughuli nyingi ni karibu {hour}:00 — andaa wafanyakazi wa foleni kwa ajili yake	
admin.insight_all_quiet	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Nothing needs your attention in this window	በዚህ ጊዜ ትኩረትዎን የሚፈልግ ነገር የለም	Yeroo kana keessa wanti xiyyeeffannoo keessan barbaadu hin jiru	ኣብዚ ግዜ ትኹረትኩም ዝደሊ ነገር የለን	Muddadan wax fiiro gaar ah u baahan ma jiraan	Hakuna kinachohitaji umakini wako katika kipindi hiki	
admin.nav_escalations	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Escalations	የተላለፉ ጥያቄዎች	Gaaffiiwwan ol dabarfaman	ዝተመሓላለፉ ሕቶታት	Su'aalaha kor loo gudbiyay	Masuala Yaliyoelekezwa	
admin.nav_live_queue	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Live queue	ቀጥታ ወረፋ	Sarara kallattii	ቀጥታዊ ሰልፊ	Safka tooska ah	Foleni ya Moja kwa Moja	
admin.nav_conversations	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Conversations	ውይይቶች	Marii	ዝርርባት	Wadahadallada	Mazungumzo	
admin.nav_knowledge_base	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Knowledge Base	የመረጃ ማዕከል	Kuusaa odeeffannoo	መኽዘን ሓበሬታ	Kaydka macluumaadka	Hazina ya Maarifa	
admin.nav_curated_answers	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Curated Answers	የጸደቁ መልሶች	Deebiiwwan mirkanaa'an	ዝጸደቑ መልስታት	Jawaabaha la ansixiyay	Majibu Yaliyoidhinishwa	
admin.nav_content_gaps	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Content Gaps	የይዘት ክፍተቶች	Qaawwa qabiyyee	ጋግ ትሕዝቶ	Farqiga macluumaadka	Mapungufu ya Maudhui	
admin.nav_channels	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Channels	መስመሮች	Karaalee	መስመራት	Kanaallada	Njia za Mawasiliano	
admin.nav_audit_log	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Audit log	የክትትል መዝገብ	Galmee to'annoo	መዝገብ ክትትል	Diiwaanka hubinta	Kumbukumbu za Ukaguzi	
admin.nav_settings	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Settings	ቅንብሮች	Qindaa'ina	ቅጥዕታት	Dejinta	Mipangilio	
admin.nav_team	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Team	ቡድን	Garee	ጋንታ	Kooxda	Timu	
admin.sign_out	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Sign out	ውጣ	Ba'i	ውጻእ	Ka bax	Toka	
admin.save	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Save	አስቀምጥ	Olkaa'i	ኣቐምጥ	Kaydi	Hifadhi	
admin.cancel	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Cancel	ሰርዝ	Haqi	ሰርዝ	Jooji	Ghairi	
admin.close	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Close	ዝጋ	Cufi	ዕጾ	Xidh	Funga	
admin.search	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Search	ፈልግ	Barbaadi	ድለ	Raadi	Tafuta	
admin.global_search_placeholder	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Search everything…	ሁሉንም ይፈልጉ…	Waan hunda barbaadi…	ኩሉ ድለ…	Raadi wax kasta…	Tafuta kila kitu…	
admin.global_search_no_results	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	No matches.	ምንም ውጤት አልተገኘም።	Bu'aan hin argamne.	ውጽኢት ኣይተረኽበን።	Natiijo lama helin.	Hakuna kinacholingana.	
admin.global_search_aria	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Search conversations, escalations, knowledge base and curated answers	ውይይቶችን፣ የተላለፉ ጥያቄዎችን፣ የመረጃ ማዕከልን እና የጸደቁ መልሶችን ይፈልጉ	Mariiwwan, gaaffiiwwan ol dabarfaman, kuusaa odeeffannoo fi deebiiwwan mirkanaa'an barbaadi	ዝርርባት፣ ዝተመሓላለፉ ሕቶታት፣ መኽዘን ሓበሬታን ዝጸደቑ መልስታትን ድለ	Raadi wadahadallada, su'aalaha kor loo gudbiyay, kaydka macluumaadka iyo jawaabaha la ansixiyay	Tafuta mazungumzo, masuala yaliyoelekezwa, hazina ya maarifa na majibu yaliyoidhinishwa	
admin.loading	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Loading…	በመጫን ላይ…	Fe'aa jira…	ይጽዕን ኣሎ…	Waa la soo dejinayaa…	Inapakia…	
admin.on_duty	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	On duty	በሥራ ላይ	Hojii irra	ኣብ ስራሕ	Shaqada joog	Kazini	
admin.off_duty	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Off duty	ከሥራ ውጪ	Hojii ala	ካብ ስራሕ ወጻኢ	Shaqada ka maqan	Nje ya Kazi	
admin.live_sessions_on	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Live sessions on	ቀጥታ ክፍለ ጊዜዎች በርተዋል	Marii kallattii banaa dha	ቀጥታዊ ክፍለ ግዜታት ተኸፊቱ	Kalfadhiyada tooska ah waa furan yihiin	Vikao vya moja kwa moja vimewashwa	
admin.live_sessions_off	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Live sessions off	ቀጥታ ክፍለ ጊዜዎች ጠፍተዋል	Marii kallattii cufaa dha	ቀጥታዊ ክፍለ ግዜታት ተዓጽዩ	Kalfadhiyada tooska ah waa xidhan yihiin	Vikao vya moja kwa moja vimezimwa	
admin.switch_on	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Switch on	አብራ	Bani	ኣብራህ	Fur	Washa	
admin.switch_off	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Switch off	አጥፋ	Cufi	ኣጥፍእ	Xidh	Zima	
admin.customers_can_reach_teller	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Customers can reach a teller now	ደንበኞች አሁን ገንዘብ ያዥ ማግኘት ይችላሉ	Maamiltoonni amma hojjetaa herregaa argachuu danda'u	ዓማዊል ሕጂ ሰራሕተኛ ሕሳብ ክረኽቡ ይኽእሉ	Macaamiisha hadda way heli karaan shaqaale xisaabeed	Wateja wanaweza kumfikia afisa sasa	
admin.customers_reach_colleague	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Customers can reach a colleague — you are off duty	ደንበኞች ባልደረባዎን ያገኛሉ — እርስዎ ከሥራ ውጪ ነዎት	Maamiltoonni hiriyaa kee argatu — ati hojii ala jirta	ዓማዊል ንመሓዛኻ ይረኽቡ — ንስኻ ካብ ስራሕ ወጻኢ ኢኻ	Macaamiisha waxay heli doonaan asxaabtaada — adigu shaqada kama joogtid	Wateja wanaweza kumfikia mwenzako — wewe upo nje ya kazi	
admin.oldest_first	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Oldest first. The longest wait is the one to take.	የቆየው መጀመሪያ። ረጅም የጠበቀው መጀመሪያ ይወሰዳል።	Kan dur jalqaba. Kan yeroo dheeraa eege duraa fudhadhu.	ናይ ቀደም ቅድሚት። እቲ ነዊሕ ዝጸንሐ ቀዲሙ ይውሰድ።	Kii ugu horreeyay marka hore. Kii ugu dheeraaday sugitaanka ayaa la qaadaa.	Wa zamani zaidi kwanza. Aliyesubiri kwa muda mrefu zaidi ndiye wa kuhudumiwa.	
admin.waiting	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Waiting	በመጠበቅ ላይ	Eegaa jira	ይጽበ ኣሎ	Sugaya	Anasubiri	
admin.take	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Take	ውሰድ	Fudhadhu	ውሰድ	Qaado	Chukua	
admin.session_taken	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Session taken	ክፍለ ጊዜው ተወስዷል	Marii fudhatameera	ክፍለ ግዜ ተወሲዱ	Kalfadhiga waa la qaatay	Kikao kimechukuliwa	
admin.session_ended	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Session ended	ክፍለ ጊዜው ተጠናቋል	Marii xumurameera	ክፍለ ግዜ ተወዲኡ	Kalfadhiga waa la dhammeeyay	Kikao kimekwisha	
admin.back_to_live	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Back to live	ወደ ቀጥታ ተመለስ	Gara kallattiitti deebi'i	ናብ ቀጥታ ተመለስ	Ku noqo tooska	Rudi kwenye moja kwa moja	
admin.no_one_waiting	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Nobody is waiting.	የሚጠብቅ የለም።	Namni eegaa jiru hin jiru.	ዝጽበ የለን።	Cidna ma sugayso.	Hakuna anayesubiri.	
admin.conversation	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Conversation	ውይይት	Marii	ዝርርብ	Wadahadal	Mazungumzo	
admin.send	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Send	ላክ	Ergi	ስደድ	Dir	Tuma	
admin.message_customer	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Message the customer…	ለደንበኛው መልእክት ይጻፉ…	Maamilaaf ergaa barreessi…	ንዓሚል መልእኽቲ ጽሓፍ…	Fariin u qor macmiilka…	Mtumie mteja ujumbe…	
admin.connecting	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Connecting…	በመገናኘት ላይ…	Wal qunnamaa jira…	ይራኸብ ኣሎ…	Waa la xidhiidhinayaa…	Inaunganisha…	
admin.connected	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Connected	ተገናኝቷል	Wal qunnameera	ተራኺቡ	Waa la xidhiidhiyay	Imeunganishwa	
admin.connected_audio_only	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Connected — audio only	ተገናኝቷል — በድምጽ ብቻ	Wal qunnameera — sagalee qofaan	ተራኺቡ — ብድምጺ ጥራይ	Waa la xidhiidhiyay — cod kaliya	Imeunganishwa — sauti pekee	
admin.not_connected	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Not connected	አልተገናኘም	Wal hin qunnamne	ኣይተራኸበን	Lama xidhiidhin	Haijaunganishwa	
admin.couldnt_connect	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Couldn't connect: 	መገናኘት አልተቻለም፦ 	Wal qunnamuun hin danda'amne: 	ክራኸብ ኣይከኣለን፦ 	Lama xidhiidhin karin: 	Imeshindwa kuunganisha: 	
admin.mute	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Mute	ድምጽ አጥፋ	Sagalee cufi	ድምጺ ኣጥፍእ	Cod xidh	Zima Sauti	
admin.camera	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Camera	ካሜራ	Kaameeraa	ካመራ	Kamarad	Kamera	
admin.end_session	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	End session	ክፍለ ጊዜውን ጨርስ	Marii xumuri	ክፍለ ግዜ ወድእ	Kalfadhiga jooji	Maliza Kikao	
admin.freeze_frame	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Freeze frame	ምስሉን አቁም	Fakkii dhaabi	ስእሊ ኣቑም	Sawirka jooji	Simamisha Picha	
admin.language_unknown	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Language unknown	ቋንቋው አልታወቀም	Afaan hin beekamne	ቋንቋ ኣይተፈልጠን	Luqadda lama garanayo	Lugha Haijulikani	
admin.identity_confirmed	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Identity confirmed	ማንነት ተረጋግጧል	Eenyummaan mirkanaa'eera	መንነት ተረጋጊጹ	Aqoonsiga waa la xaqiijiyay	Utambulisho Umethibitishwa	
admin.identified	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Identified	ተለይቷል	Adda baafameera	ተፈልዩ	Waa la aqoonsaday	Ametambuliwa	
admin.not_yet_identified	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Not yet identified	ገና አልተለየም	Ammatti adda hin baafamne	ገና ኣይተፈልየን	Weli lama aqoonsan	Bado Hajatambuliwa	
admin.fayda_number	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Fayda number	የፋይዳ ቁጥር	Lakkoofsa Fayda	ቁጽሪ ፋይዳ	Lambarka Fayda	Namba ya Fayda	
admin.fayda_number_optional	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Fayda number (optional)	የፋይዳ ቁጥር (አማራጭ)	Lakkoofsa Fayda (filannoo)	ቁጽሪ ፋይዳ (ኣማራጺ)	Lambarka Fayda (ikhtiyaari)	Namba ya Fayda (si lazima)	
admin.account_question_answered	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Answered a question only the account holder could	የሂሳቡ ባለቤት ብቻ የሚያውቀውን ጥያቄ መልሷል	Gaaffii abbaan herregaa qofti beeku deebiseera	ዋና እቲ ሕሳብ ጥራይ ዝፈልጦ ሕቶ መሊሱ	Wuxuu ka jawaabay su'aal uu keliya og yahay milkiilaha xisaabta	Amejibu swali ambalo mmiliki wa akaunti pekee angeweza	
admin.approved_answers	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Approved answers	የጸደቁ መልሶች	Deebiiwwan mirkanaa'an	ዝጸደቑ መልስታት	Jawaabaha la ansixiyay	Majibu Yaliyoidhinishwa	
admin.search_approved_answers	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Search the bank's approved answers…	የባንኩን የጸደቁ መልሶች ይፈልጉ…	Deebiiwwan baankichi mirkaneesse barbaadi…	ዝጸደቑ መልስታት ባንኪ ድለ…	Raadi jawaabaha uu bangigu ansixiyay…	Tafuta majibu yaliyoidhinishwa ya benki…	
admin.approved_answers_unavailable	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Approved answers unavailable.	የጸደቁ መልሶች አልተገኙም።	Deebiiwwan mirkanaa'an hin argamne.	ዝጸደቑ መልስታት ኣይተረኽቡን።	Jawaabaha la ansixiyay lama helin.	Majibu yaliyoidhinishwa hayapatikani.	
admin.no_approved_answers	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	No approved answers yet.	እስካሁን የጸደቀ መልስ የለም።	Ammatti deebiin mirkanaa'e hin jiru.	ክሳብ ሕጂ ዝጸደቐ መልሲ የለን።	Weli ma jiraan jawaabo la ansixiyay.	Hakuna majibu yaliyoidhinishwa bado.	
admin.nothing_matches	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Nothing matches	ምንም አልተገኘም	Wanti walsimu hin jiru	ዝሰማማዕ የለን	Waxba kuma habboona	Hakuna kinacholingana	
